Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
107,70761,"Jason Hurt","2014-01-06 23:12:11",0.72582,4,jasonhurt
108,62597,ZKX_YX,"2013-11-04 02:55:54",0.72160,5,"usixuz,yanxia1"
109,65044,"Jonathan Cocks","2013-11-13 18:29:14",0.71360,1,jonathancocks
110,59517,"Deep Octo","2013-11-20 16:24:27",0.70811,3,"ashtonizmev,lmatthieu,romainm,simonmaby"
111,68561,"Peter M.","2013-12-09 15:22:42",0.70754,2,petermalmgren
112,60096,ameerkat,"2013-10-02 09:32:39",0.70434,2,ameerkat
113,64653,"THE TEST SET IS ALL CATS!","2013-11-11 00:10:40",0.69337,3,pjreddie
114,69660,Thanos,"2013-12-25 21:13:57",0.69234,5,erwtokritos
115,72092,"Pradeep Sudarshan","2014-01-18 10:16:19",0.69028,1,pradeepsudarshan
116,68185,Lavi&Shaun,"2014-01-25 04:46:23",0.68628,10,"lavizhao,yaoming147"
117,71716,wacax,"2014-01-20 22:50:02",0.68594,5,wacaxx
118,62282,Sourena,"2013-11-12 13:17:50",0.68445,4,sourena
119,69429,bravehearts,"2014-01-13 08:10:37",0.68388,10,"botdes0,darthvadersnooo"
120,65511,Pringle,"2013-11-22 06:55:44",0.68342,3,user136798
121,59508,becky1166,"2013-10-08 12:11:29",0.67782,5,becky1166
122,61753,Thailandaise_Fajitas,"2013-11-13 16:25:38",0.66171,3,"piangfanangelanaksukpaiboon,princeofthief"
123,69657,"WooBe @ bit.ly/blenditbayes","2014-01-27 12:31:49",0.66160,11,jofaichow
124,74303,"Hans-Peter Wieser","2014-01-30 09:29:46",0.65874,3,hanspeterwieser
125,62156,EricSaurus,"2013-10-19 17:08:13",0.65794,1,ericsaurus
126,70423,"博獻 劉","2013-12-29 14:46:10",0.65394,2,ryanliu0705
127,69388,sergio22,"2014-01-12 01:57:11",0.65314,2,sergio22
128,69878,"Ram Narayan","2014-01-05 15:30:01",0.64948,10,ramnarayan88
129,59539,primaryobjects,"2013-09-27 22:29:03",0.64742,3,primaryobjects
130,70972,"Manta Argon","2014-01-05 13:37:32",0.63931,1,mantaargon
131,68709,TeamDSSS,"2013-12-19 06:58:08",0.63474,6,mkimura3
132,69944,"Polina Vasilyuk","2014-01-14 03:05:50",0.63085,9,user142937
133,69716,"Ivan Kuckir","2014-01-08 01:08:59",0.62617,6,ivankuckir
134,71647,Jagruti,"2014-01-16 20:23:06",0.62240,6,jagruti
135,74517,"Lasse Hjorth Madsen","2014-01-31 09:04:26",0.61908,1,lassehjorthmadsen
136,70445,GeekyCoder,"2014-01-05 15:42:39",0.61851,4,geekycoder0
137,72188,Yuczyk,"2014-01-19 19:10:53",0.61805,2,yukiegosapporo
138,59512,ThierryS,"2013-09-26 13:36:48",0.61280,1,thierrys
139,67187,"Miguel Ballesteros","2014-01-26 17:40:36",0.61131,7,miguelballesteros
140,67850,chwolfe,"2013-12-03 19:08:06",0.60800,1,chwolfe
141,66428,"data hydrant","2013-11-24 23:49:59",0.60171,3,slothouber
142,70314,earino,"2013-12-29 05:39:38",0.59977,6,earino
143,61280,kn-olin,"2013-10-13 13:09:57",0.59737,1,ryanlouie
144,61871,Shembil,"2013-10-17 16:09:14",0.59337,2,absmd2002
145,59949,kymhorsell,"2013-10-09 02:54:04",0.59222,8,kymhorsell1
146,72497,peculiardaveo,"2014-01-26 12:46:41",0.58731,4,neuralnutz
147,60331,Contanalytics,"2013-10-10 02:12:57",0.57542,8,"keziahdo,phmoantrinh,qtheboss,shankusu"
148,69075,tebeka,"2013-12-13 19:36:05",0.56811,1,tebeka
149,71963,"michel blaauw","2014-01-29 21:38:53",0.56331,2,michelblaauw
150,74258,boyter,"2014-01-31 05:06:21",0.55942,5,boyter
151,62287,"Pavel Simo","2013-10-25 15:13:27",0.55805,4,pavelsimo
152,69498,"Frank Inklaar","2013-12-30 08:10:59",0.55200,2,frin63
153,71748,"Andrés Pe","2014-01-16 00:00:26",0.54902,3,andrespe
154,71114,"Amitabha Chakravarty","2014-01-14 16:42:48",0.54365,8,amitabhac
155,61048,Kae+Kae+,"2013-11-11 14:36:46",0.54045,2,newmanok
156,72410,"Danny Sullivan","2014-01-21 02:31:01",0.53862,2,dbsullivan23
157,68287,koshkabb,"2013-12-24 22:46:05",0.53851,4,koshkabb
158,60348,KaeKae!!,"2013-11-11 14:59:17",0.53702,8,nattawet
159,70915,"lina lll","2014-01-04 18:04:39",0.53497,1,linalll
160,67816,ziyuang,"2013-12-11 15:36:30",0.53165,4,del=0344ac6154f2b9d5
161,59943,"Connor Dunn","2013-10-15 20:55:09",0.52297,2,connorhd
162,71865,"Bill Szaroletta, P.E.","2014-02-01 21:58:42",0.51120,2,szaroletta
163,59668,razapor,"2013-09-29 00:09:39",0.50971,5,razapor
164,71826,jticknor,"2014-01-16 01:53:11",0.50868,4,jticknor
165,74437,"Rajendra Gupta","2014-01-30 16:38:48",0.50662,2,rajnitjsr
166,70111,Arvi,"2013-12-26 02:25:43",0.50628,1,arvi151370
167,69303,"Kai Xin, Thia","2013-12-16 09:42:59",0.50617,2,thiakx
168,59639,Iampat,"2013-09-29 08:18:18",0.50594,3,iampat
169,74508,Andrey,"2014-01-31 17:54:24",0.50445,2,poletaev
170,69692,Surf,"2014-01-22 15:39:22",0.50400,1,surfield
171,68900,"Landu jiang","2013-12-16 01:13:57",0.50365,3,landujiang
172,70635,"Hiro Hosokawa","2014-01-01 08:39:01",0.50320,2,hhosokawa
173,71559,"William Smits","2014-01-12 21:28:01",0.50308,2,smitswil
174,70942,a929060944,"2014-01-05 05:04:30",0.50297,1,qjohnyuan
175,67592,"Jens Baetens","2013-12-05 19:40:45",0.50240,7,jensbaetens
176,60777,"Buddy James","2013-10-10 00:27:58",0.50217,3,budbjames
177,71696,"Sundong Kim","2014-01-14 13:58:25",0.50205,2,sundong
178,72527,ckcabang,"2014-01-29 18:28:51",0.50205,3,ckcabang
179,69900,"Andre Platzman","2014-02-01 00:37:21",0.50171,10,andrep
180,71614,Crystal,"2014-01-13 14:27:49",0.50137,1,crystal3
181,72492,aRSenic,"2014-01-24 17:57:11",0.49977,2,arsenic
182,72443,"Satya Prakash","2014-01-21 10:22:47",0.49965,1,satyaprakash1986
183,69189,starkis,"2014-02-01 21:01:47",0.49942,1,starkis
184,68752,Alpha,"2013-12-10 14:47:19",0.49920,1,alpha4
185,71617,UpDownDOTA,"2014-01-13 14:42:47",0.49805,1,updowndota
186,59382,weizhezhang,"2013-09-25 15:24:11",0.49794,1,weizhezhang
187,59408,X625,"2013-09-25 19:16:13",0.49794,1,x625112025
188,59563,"George Theofilis","2013-09-26 19:54:00",0.49794,1,theofilis
189,59984,"Islamic Azad University of Naragh","2013-09-30 10:18:17",0.49794,1,malekinezhad
190,60665,"Vikram Jha","2013-10-07 06:41:39",0.49794,1,invinciblejha
191,62264,"Amir Modi","2013-10-20 17:41:09",0.49794,1,amirmodarresi
192,62138,"Abdulsamad Maqsoudi","2013-10-21 06:49:25",0.49794,1,abdulsamadmaqsoudi
193,62327,"Najibullah Akbari","2013-10-21 07:35:48",0.49794,1,najakbari
194,64818,zardoz,"2013-11-12 02:21:57",0.49794,1,zardoz
195,68346,the_etruscan,"2013-12-20 23:15:26",0.49794,3,theetruscan
196,68429,"Ravi Chandibhamar","2013-12-08 00:18:52",0.49794,1,company
197,68600,주현탁,"2013-12-09 11:20:15",0.49794,1,user147290
198,68958,ChapmanS,"2013-12-12 11:45:32",0.49794,1,chapmansiu
199,69633,"Ameya ","2013-12-20 04:59:00",0.49794,1,ameyagawde
200,70583,"Arul A P","2013-12-31 11:55:25",0.49794,1,arulap
201,71762,"Mania Yang","2014-01-15 04:16:00",0.49794,1,yangyanzhan
202,71881,"Exp Dislikelihood","2014-01-16 09:23:25",0.49794,1,knizkar
203,71380,yyq10,"2014-01-16 16:43:00",0.49794,1,yyq10156478
204,70067,"NISHIO Hirokazu","2014-01-21 07:32:09",0.49794,1,nishio
205,74145,Gaurav,"2014-01-28 08:05:01",0.49794,1,gaurav159949
206,62249,"Habib Eslami","2013-10-20 15:22:31",0.49714,1,habib128987
207,71197,"Gopal Sharma","2014-01-28 13:55:40",0.49714,5,gopalsharma2001
208,69270,D.Fox,"2013-12-15 22:34:39",0.49622,1,dfox1146718
209,64688,"Jon McAullife","2013-11-11 05:27:46",0.49588,1,jonmcaullife
210,68708,"Prince Human","2013-12-16 01:28:12",0.49520,1,"killit0,princehuman"
211,60265,"Guybrush Threepwood","2013-10-02 18:48:02",0.49394,1,ckroxigor
212,60931,Kid.Do,"2013-10-09 08:28:39",0.49360,2,kiddo132050
213,68012,"Mostafa Charmi","2013-12-04 11:50:26",0.49302,2,mostafacharmi
